代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额,隐含波动率
113574.SH,华体转债,2024/03/28,114.368,125.0,137.242,122.057,137.242,22.874,20.000349748181307,364,1.790136986301,2.008196721311476,1.311551857303158,-9.0284,100.24414702,36.99785298,36.90774382330616,30.71,3.2562683165092805,45.52263106479974,91.71936893520024,201.48081688125893,29.5206,2.5977,-91.71936893520024,45.41175960698971,6.0,2020/03/31,0.5,上交所,可转债,,,0.0
123167.SZ,商络转债,2024/03/28,187.0,197.7,220.5,195.8,213.001,26.001,13.90427807486631,133,0.21698630137,4.639344262295082,0.2816888183623551,-11.6649,87.49165732,125.50934268,143.45292628410343,6.91,14.47178002894356,216.49782923299563,-3.4968292329956583,-1.6151798128342243,224.5144,5.7373,3.4968292329956583,247.44968362086996,6.0,2022/11/17,0.4,深交所,可转债,,,0.2396
113680.SH,丽岛转债,2024/03/28,150.405,150.405,169.106,143.001,168.138,17.733,11.790166550314153,135,0.073424657534,5.633879781420765,0.1189499101928178,-5.7758,79.40863472,88.72936528,111.73767889709411,13.01,7.686395080707149,73.78939277478862,94.34860722521135,127.86201875,26.8622,1.2531,-94.34860722521135,92.92363863825992,6.0,2023/11/15,0.2,上交所,可转债,,,0.0
123188.SZ,水羊转债,2024/03/28,136.53,136.529,145.404,136.0,144.5,7.97,5.837544861935106,360,0.393424657534,5.019125683060109,0.2768166089965397,-3.4703,85.37852695,59.12147305,69.24630250955624,13.63,7.336757153338224,140.64563462949377,3.854365370506236,2.7404799165362546,31.0235,3.9673,-3.854365370506236,164.73185899759045,6.0,2023/04/04,0.4,深交所,可转债,,,0.2789
113672.SH,福蓉转债,2024/03/28,159.121,159.1,173.095,159.1,167.376,8.255,5.1878758931882025,255,0.208767123288,5.306010928961749,0.17923716661887,-7.2398,96.82184517,70.55415483,72.87007875766142,12.25,8.16326530612245,162.3673469387755,5.008653061224489,3.0847662141779786,41.254,7.0616,-5.008653061224489,167.69701781007228,6.0,2023/07/18,0.3,上交所,可转债,,,0.1382
123230.SZ,金钟转债,2024/03/28,149.0,147.959,158.343,145.116,156.5,7.5,5.033557046979865,141,0.153424657534,5.617486338797814,0.255591054313099,-4.5165,70.82165355,85.67834645,120.97761370328809,29.03,3.444712366517396,78.43610058560111,78.06389941439889,99.52547211242864,29.5495,2.7261,-78.06389941439889,110.75158041915148,6.0,2023/11/09,0.4,深交所,可转债,,,0.0
123182.SZ,广联转债,2024/03/28,110.377,113.0,118.473,112.3,115.93,5.553,5.030939416726311,7,0.009589041096,4.983561643835616,0.4312947468299836,0.8449,84.93108317,30.99891683,36.49890672882608,32.1,3.115264797507788,90.90342679127724,25.02657320872274,27.530945853324194,48.3133,4.3892,-25.02657320872274,107.031988052387,6.0,2023/03/22,0.3,深交所,可转债,,,0.3941
127095.SZ,广泰转债,2024/03/28,125.29,126.8,132.474,126.12,131.31,6.02,4.8048527416393965,163,0.088767123288,5.557377049180328,0.1523113243469651,-1.6464,89.43137189,41.87862811,46.82767045272484,9.38,10.66098081023454,116.84434968017057,14.465650319829424,12.380273722627736,64.459,1.955,-14.465650319829424,130.65252965579947,6.0,2023/10/18,0.2,深交所,可转债,,,0.2706
123199.SZ,山河转债,2024/03/28,112.8,112.1,118.999,111.908,118.0,5.2,4.609929078014184,291,0.158904109589,5.207650273224044,0.1694915254237288,-0.8092,78.04097011,39.95902989,51.202630917679656,18.25,5.479452054794521,68.27397260273973,49.72602739726028,72.83306581059391,17.7351,3.7065,-49.72602739726028,87.48478204013412,6.0,2023/06/12,0.2,深交所,可转债,,,0.7854
110074.SH,精达转债,2024/03/28,138.24,139.944,157.95,136.9,144.347,6.107,4.417679398148148,223,0.912328767123,2.39344262295082,1.039162573520752,-9.1004,108.30002701,36.04697299,33.284361957427365,3.57,28.01120448179272,143.97759103641457,0.3694089635854342,0.2565739299610895,25.0602,2.0628,-0.3694089635854342,132.94326419985123,6.0,2020/08/19,0.4,上交所,可转债,,,0.0001
123159.SZ,崧盛转债,2024/03/28,103.61,104.5,112.492,104.0,108.0,4.39,4.237042756490687,184,0.250684931507,4.5,0.4629629629629629,2.2219,95.71985373,12.28014627,12.829257245460273,24.45,4.08997955010225,70.14314928425358,37.85685071574642,53.97084548104956,83.16,2.764,-37.85685071574642,73.27962439444231,6.0,2022/09/27,0.3,深交所,可转债,,,0.3276
123061.SZ,航新转债,2024/03/28,115.5,117.8,122.18,117.0,120.139,4.639,4.016450216450216,251,1.232876712329,2.3169398907103824,1.4982645102755974,0.7896,100.16496332,19.97403668,19.941141111576457,14.83,6.74308833445718,81.3216453135536,38.81735468644639,47.73311525704809,299.6688,4.0386,-38.81735468644639,81.18771536285888,6.0,2020/07/22,0.5,深交所,可转债,,,0.4989
117196.SZ,22开山EB,2024/03/28,111.03,115.0,115.0,115.0,115.0,3.97,3.575610195442673,266,0.72602739726,1.2759562841530054,0.8695652173913043,-3.2371,107.72893713,7.27106287,6.749405557789708,15.9,6.289308176100628,80.88050314465409,34.119496855345915,42.18506998444791,27.6058,2.0558,-34.119496855345915,75.07778810353709,3.0,2022/07/05,1.0,深交所,可交换债券(私募),,,0.3627
123223.SZ,九典转02,2024/03/28,173.0,172.444,180.98,170.6,179.1,6.1,3.5260115606936417,196,0.160273972603,5.467213114754098,0.1675041876046901,-7.3521,79.40698811,99.69301189,125.54689991754682,21.85,4.576659038901601,177.80320366132725,1.2967963386727688,0.7293436293436293,32.4419,7.3595,-1.2967963386727688,223.9137988901204,6.0,2023/09/15,0.3,深交所,可转债,,,0.3537
113615.SH,金诚转债,2024/03/28,413.969,413.961,430.731,412.2,428.408,14.439,3.487942333846254,97,0.394520547945,2.7377049180327866,0.350133517581371,-38.406,107.1789809,321.2290191,299.7127015041435,12.43,8.045052292839902,422.36524537409485,6.042754625905069,1.430694095238095,34.154,4.7685,-6.042754625905069,394.0746980680565,6.0,2020/12/23,0.4,上交所,可转债,,,0.0001
