代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额,隐含波动率,发行人企业性质
123044.SZ,红相转债,2024/10/10,163.538,196.246,196.246,183.693,196.246,32.708,20.00024459147109,213,1.750684931507,1.4191780821917808,1.5286935784678413,-29.2397,106.29397347169,89.95202652831001,84.62570698071377,3.7,27.027027027027028,197.83783783783784,-1.5918378378378375,-0.8046174863387977,171.3232,2.7017,1.5918378378378375,186.1232874980719,6.0,2020/03/12,0.5,深交所,可转债,A-,3.171388,0.0001,私营
123048.SZ,应急转债,2024/10/10,125.54,126.88,145.2,125.43,137.239,11.699,9.31894216982635,184,0.907397260274,1.498630136986301,1.3115805274011032,-13.9614,105.86972069415,31.36927930585,29.630076569743284,7.06,14.164305949008495,141.7847025495751,-4.545702549575071,-3.20605994005994,-3774.0651,3.9495,4.545702549575071,133.92375234386503,6.0,2020/04/10,0.3,深交所,可转债,AA+,3.45448,0.0001,中央企业
113600.SH,新星转债,2024/10/10,141.569,145.2,155.8,142.542,153.486,11.917,8.417803332650509,59,0.404109589041,1.841095890410959,1.6288130513532175,-11.6419,103.29908434336,50.18691565664,48.58408569220389,10.0,10.0,159.3,-5.814,-3.6497175141242937,-25.0491,1.8791,5.814,154.2124027648651,6.0,2020/08/13,0.4,上交所,可转债,A-,2.18685,0.0001,私营
123118.SZ,惠城转债,2024/10/10,609.99,613.0,685.0,610.633,657.0,47.01,7.706683716126493,96,0.473424657534,2.73972602739726,0.273972602739726,-46.7571,102.98795505147,554.01204494853,537.9386790150877,11.29,8.857395925597874,552.7015057573074,104.29849424269264,18.87067307692308,174.0011,9.3508,-104.29849424269264,536.6661620585487,6.0,2021/07/07,0.5,深交所,可转债,A+,1.239246,0.0,私营
127055.SZ,精装转债,2024/10/10,117.1,117.49,128.724,116.702,126.0,8.9,7.6003415883859935,232,0.632876712329,3.3688524590163933,0.7936507936507936,-1.5908,106.3161070195,19.683892980500005,18.514497504023243,18.5,5.405405405405404,122.2162162162162,3.783783783783784,3.095975232198142,-45.0776,2.7185,-3.783783783783784,114.9555035849835,6.0,2022/02/22,0.3,深交所,可转债,AA-,5.743209,0.0001,地方国有企业
123189.SZ,晓鸣转债,2024/10/10,90.0,90.4,104.41,90.4,96.3,6.3,7.0,188,0.257534246575,4.487671232876712,0.5192107995846313,4.9237,84.44226964213,11.857730357869997,14.042410759591816,19.46,5.138746145940392,66.23843782117163,30.061562178828364,45.38386346004656,-41.8744,3.9166,-30.061562178828364,78.44227553557359,6.0,2023/04/06,0.3,深交所,可转债,A,3.288936,0.3513,私营
123246.SZ,远信转债,2024/10/10,266.0,266.1,319.2,256.034,282.08,16.08,6.045112781954887,56,0.076712328767,5.849315068493151,0.1772546795235394,-13.2602,79.354400387426,202.725599612574,255.4686301236253,23.25,4.301075268817204,91.3978494623656,190.6821505376344,208.62870588235293,38.1608,2.8737,-190.6821505376344,115.17678794892376,6.0,2024/08/16,0.5,深交所,可转债,A,2.86467,0.0,私营
110060.SH,天路转债,2024/10/10,138.269,138.9,152.097,136.106,146.404,8.135,5.883459054451829,349,1.716164383562,1.0491803278688523,1.229474604519002,-22.9368,108.92192107823,37.48207892177,34.411878298446084,4.17,23.980815347721823,144.8441247002398,1.559875299760192,1.076933774834437,-58.5095,2.1337,-1.559875299760192,132.9797741964262,6.0,2019/10/25,0.4,上交所,可转债,AA,2.43204,0.0001,地方国有企业
128133.SZ,奇正转债,2024/10/10,119.698,120.95,126.4,120.756,125.9,6.202,5.181373122357934,19,0.093698630137,1.9506849315068493,1.4297061159650517,-5.0873,108.16780525141,17.732194748590004,16.393227825392028,19.61,5.099439061703213,122.99847016828149,2.9015298317185114,2.3589966832504143,19.6321,3.4954,-2.9015298317185114,113.71079396720786,6.0,2020/09/22,0.4,深交所,可转债,AA,7.813671,0.0001,私营
123172.SZ,漱玉转债,2024/10/10,96.3,98.997,102.432,98.354,100.559,4.259,4.42263759086189,301,0.41095890411,4.180327868852459,0.4972205371970683,3.9866,101.53809717275,-0.9790971727500022,-0.9642658273221656,14.95,6.688963210702341,79.26421404682273,21.294785953177257,26.86557383966245,99.2616,2.2476,-21.294785953177257,78.06352123377692,6.0,2022/12/15,0.3,深交所,可转债,AA-,7.999447,0.0,私营
