代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额
117213.SZ,23新乳EB,2025/01/07,101.5000,119.0200,119.0300,119.0200,119.0250,17.5250,17.2660098500,55,0.090410958904,1.8520547945205479,0.504095778197857600,-5.5477,103.4657389148,15.559261085200006,15.038080478033846,13.870,7.20980534,116.798846431146,2.226153568854,1.905972222200,22.0748,4.7572,-2.226153568854,112.88649523619148,3.0000,2023/11/10,0.6000,深交所,可交换债券(私募),,4.5050002276
113546.SH,迪贝转债,2025/01/07,137.8180,137.5370,151.6330,134.8180,150.7770,12.9590,9.4029807400,77,0.632876712329,0.7917808219178082,9.948466941244354200,-29.9684,110.87303976064,39.90396023935999,35.99067936218515,11.930,8.38222967,154.568315171836,-3.791315171836,-2.452841106300,45.2145,2.8587,3.791315171836,139.41018980405718,6.0000,2019/10/23,0.5000,上交所,可转债,A+,1.24512
123241.SZ,欧通转债,2025/01/07,221.3000,220.0000,244.8300,218.5000,240.5000,19.2000,8.6760054200,187,0.051232876712,5.49041095890411,0.041580041580041600,-12.6155,96.034726371644,144.465273628356,150.43024444021532,44.560,2.24416517,249.012567324955,-8.512567324955,-3.418529199700,53.7744,5.7581,8.512567324955,259.294295650204,6.0000,2024/07/05,0.1000,深交所,可转债,AA-,6.445265
113589.SH,天创转债,2025/01/07,253.7510,252.9400,271.5520,252.1890,270.6420,16.8910,6.6565254900,198,0.976438356164,1.4602739726027396,0.665085241758485400,-45.6910,98.326303521149,172.315696478851,175.24882997537645,12.290,8.13669650,27.664768104150,242.977231895850,878.291229411800,-34.7911,1.2764,-242.977231895850,28.135673887302787,6.0000,2020/06/24,0.4000,上交所,可转债,A-,0.66623
110074.SH,精达转债,2025/01/07,223.7540,224.8000,239.9440,221.8830,238.2760,14.5220,6.4901633000,142,0.700273972603,1.6136986301369864,0.755426480216219800,-36.9713,110.42577144999,127.85022855001002,115.77933925316634,3.400,29.41176471,207.058823529412,31.217176470588,15.076477272700,27.2778,2.8189,-31.217176470588,187.5095105160171,6.0000,2020/08/19,0.4000,上交所,可转债,AA,2.72743
123238.SZ,卡倍转02,2025/01/07,141.2310,141.9090,149.9900,141.6500,149.9900,8.7590,6.2018961800,363,0.198356164384,0.02185792349726776,0.133342222814854300,null,100.10785403975,49.882145960250014,49.82840401357842,29.240,3.41997264,152.188782489740,-2.198782489740,-1.444773033700,44.4319,4.8691,2.198782489740,152.02481758255465,6.0000,2024/01/11,0.2000,深交所,可转债,A+,1.267744
117222.SZ,24广州数字科技EB,2025/01/07,104.0750,110.5000,110.5000,110.5000,110.5000,6.4250,6.1734326200,257,0.211232876712,2.2986301369863016,0.271493212669683300,-1.9213,101.28049696799,9.219503032009996,9.102940159272567,14.320,6.98324022,76.326815642458,34.173184357542,44.772186642300,30.2527,2.2073,-34.173184357542,75.36180995101289,3.0000,2024/04/24,0.3000,深交所,可交换债券(私募),,30.0
123213.SZ,天源转债,2025/01/07,193.7490,193.6670,204.8530,191.8080,204.1620,10.4130,5.3744793500,164,0.224657534247,4.553424657534246,0.244903556979261600,-11.6874,101.10392799375,103.05807200625,101.93280721261473,7.240,13.81215470,196.823204419890,7.338795580110,3.728623157900,36.9479,3.5783,-7.338795580110,194.6741420689977,6.0000,2023/07/28,0.3000,深交所,可转债,AA-,5.207552
128109.SZ,楚江转债,2025/01/07,141.4470,141.2800,148.8910,139.0300,148.4400,6.9930,4.9439012500,218,1.075068493151,1.4054794520547946,1.212611156022635400,-18.4378,108.94407355161,39.495926448389994,36.25339604148326,6.100,16.39344262,138.688524590164,9.751475409836,7.031205673800,590.0605,2.0994,-9.751475409836,127.30249573829566,6.0000,2020/06/04,0.4000,深交所,可转债,AA,6.982894
127047.SZ,帝欧转债,2025/01/07,81.4990,81.2500,85.5000,81.2500,85.5000,4.0010,4.9092626900,75,0.328767123288,2.7972602739726025,1.871345029239766100,12.6413,97.529231199624,-12.029231199623993,-12.333975210983073,5.100,19.60784314,71.372549019608,14.127450980392,19.793956044000,-7.6476,0.8245,-14.127450980392,73.18067428781615,6.0000,2021/10/25,0.3000,深交所,可转债,A,14.51409
123131.SZ,奥飞转债,2025/01/07,137.5500,137.5620,144.9800,136.5920,144.0000,6.4500,4.6892039300,36,0.177534246575,2.904109589041096,1.250000000000000000,-6.3774,103.21725502241,40.78274497759,39.51155741231005,10.070,9.93048659,124.627606752731,19.372393247269,15.544223107600,86.8458,3.9458,-19.372393247269,120.7429966294613,6.0000,2021/12/03,0.5000,深交所,可转债,A+,3.931545
127104.SZ,姚记转债,2025/01/07,139.2110,139.2100,147.1500,138.3050,145.5200,6.3090,4.5319694600,349,0.286027397260,5.049180327868853,0.206157229246838900,-3.6580,92.540976984672,52.97902301532801,57.24925837351294,20.610,4.85201359,124.211547792334,21.308452207666,17.154968750000,18.7782,3.2014,-21.308452207666,134.22329419853406,6.0000,2024/01/25,0.3000,深交所,可转债,A+,5.828044
127033.SZ,中装转2,2025/01/07,66.8880,66.6660,71.5880,64.5180,69.9000,3.0120,4.5030498700,267,1.097260273973,2.271232876712329,2.145922746781115900,25.2727,76.239280154399,-6.339280154398992,-8.314979025983387,5.140,19.45525292,69.455252918288,0.444747081712,0.640336134500,-2.4517,1.4504,-0.444747081712,91.10166409969762,6.0000,2021/04/16,0.3000,深交所,可转债,BB,10.836701
123160.SZ,泰福转债,2025/01/07,125.0670,125.6010,130.6470,123.2580,130.6030,5.5360,4.4264274300,102,0.279452054795,3.723287671232877,0.765679195730572800,-2.2266,92.314329652484,38.288670347516,41.47641053307018,19.750,5.06329114,115.493670886076,15.109329113924,13.082387110900,83.7981,2.9726,-15.109329113924,125.10914754063676,6.0000,2022/09/28,0.5000,深交所,可转债,A,2.348339
113597.SH,佳力转债,2025/01/07,119.0990,119.2000,125.1980,119.0200,124.2340,5.1350,4.3115391400,162,1.109589041096,1.558904109589041,2.012331567847771100,-1.9642,115.47425359466,8.759746405339996,7.585887011739111,10.710,9.33706816,74.603174603175,49.630825396825,66.526425531900,266.0057,2.3859,-49.630825396825,64.60589463089195,6.0000,2020/07/30,0.5000,上交所,可转债,AA-,2.97653
